Sol,logS,logP,MP,InChI
-6.006758078418352,-6.558,4.73,84.0,"InChI=1S/C15H11ClF3NO4/c1-2-23-14-8-10(4-5-12(14)20(21)22)24-13-6-3-9(7-11(13)16)15(17,18)19/h3-8H,2H2,1H3"
-4.759939192700556,-8.033999999999999,5.77,212.0,"InChI=1S/C17H12/c1-2-6-13-11-17-15(9-12(13)5-1)10-14-7-3-4-8-16(14)17/h1-9,11H,10H2"
-3.669967803852833,-0.237,1.67,-63.0,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3"
-6.050071209908223,-2.862,2.89,35.0,"InChI=1S/C10H13ClN2/c1-8-6-9(11)4-5-10(8)12-7-13(2)3/h4-7H,1-3H3"
-8.653490063044549,0.747,0.28,7.2,"InChI=1S/C6H18N3OP/c1-7(2)11(10,8(3)4)9(5)6/h1-6H3"
-5.1997445435835346,-1.933,2.75,68.5,"InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(8)6(4)9/h1-3,9H"
-6.635751918733492,-1.619,1.84,5.5,"InChI=1S/C8H11Cl2NO/c1-3-5-11(6-4-2)8(12)7(9)10/h3-4,7H,1-2,5-6H2"
-6.921913093577572,-6.539,5.08,87.0,"InChI=1S/C16H15Cl3O2/c1-20-13-7-3-11(4-8-13)15(16(17,18)19)12-5-9-14(21-2)10-6-12/h3-10,15H,1-2H3"
-5.554171772353572,-0.413,0.9,-6.019,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2"
-6.212427350587228,-4.8580000000000005,4.73,69.0,"InChI=1S/C19H25NO4/c1-11(2)9-14-15(19(14,3)4)18(23)24-10-20-16(21)12-7-5-6-8-13(12)17(20)22/h9,14-15H,5-8,10H2,1-4H3"
-4.4767974671689235,-0.519,1.16,-117.1175,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3"
-5.315823926954397,1.337,-1.05,-52.4,"InChI=1S/CH6N2/c1-3-2/h3H,2H2,1H3"
-4.68,-0.86,1.81,-7.0,"InChI=1S/C7H6O2/c8-5-6-3-1-2-4-7(6)9/h1-5,9H"
-13.744008856448188,-0.6759999999999999,0.08,153.2,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)"
-9.711392868962195,-2.086,2.17,46.0,"InChI=1S/C13H18ClNO2/c1-10-5-4-6-11(2)13(10)15(7-8-17-3)12(16)9-14/h4-6H,7-9H2,1-3H3"
-6.048028137668135,-4.63,4.39,6.1,"InChI=1S/C12H15N2O3PS/c1-3-15-18(19,16-4-2)17-14-12(10-13)11-8-6-5-7-9-11/h5-9H,3-4H2,1-2H3/b14-12+"
-0.9892139187489148,-2.1719999999999997,2.63,-79.5,"InChI=1S/C7H8/c1-2-4-6-7-5-3-1/h1-6H,7H2"
-1.3331622268087044,-3.792,3.95,-15.1175,"InChI=1S/C7H6Cl2/c1-5-2-3-6(8)7(9)4-5/h2-4H,1H3"
-3.1024627867250434,-4.077,4.14,25.2,"InChI=1S/C13H12/c1-3-7-12(8-4-1)11-13-9-5-2-6-10-13/h1-10H,11H2"
-1.3237640945042983,-3.2760000000000002,3.72,-31.2,"InChI=1S/C10H14/c1-3-9-7-5-6-8-10(9)4-2/h5-8H,3-4H2,1-2H3"
-4.760953465538498,-1.001,1.38,48.0,"InChI=1S/C6H14N2O/c1-5(2)8(7-9)6(3)4/h5-6H,1-4H3"
-0.7965617756394666,-1.795,2.27,-42.2,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H
-5.34728899837436,-5.0775,3.86,112.5,"InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+"
-9.980942199837823,-2.093,2.04,33.4,"InChI=1S/C11H15NO2S/c1-3-15-8-9-6-4-5-7-10(9)14-11(13)12-2/h4-7H,3,8H2,1-2H3,(H,12,13)"
-6.655403409275099,-4.649,3.83,6.1,"InChI=1S/C10H14NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8H,3-4H2,1-2H3"
-3.9239140320564863,-1.393,2.22,-41.2,"InChI=1S/C7H16O/c1-3-5-7(8)6-4-2/h7-8H,3-6H2,1-2H3"
-0.3229894447677007,-1.4609999999999999,2.04,-122.8,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3"
-11.209373435394829,-3.483,2.41,148.1,"InChI=1S/C10H13ClN2O/c1-7-4-5-8(6-9(7)11)12-10(14)13(2)3/h4-6H,1-3H3,(H,12,14)"
